1,January,5948,casual
1,January,25848,member
2,February,3300,casual
2,February,13010,member
3,March,27333,casual
3,March,47520,member
4,April,52697,casual
4,April,86166,member
5,May,37428,member
5,May,28570,casual
6,June,50728,casual
6,June,62001,member
7,July,88281,casual
7,July,92123,member
8,August,109114,member
8,August,95007,casual
9,September,75380,casual
9,September,99286,member
10,October,47841,casual
10,October,79794,member
11,November,56573,member
11,November,29236,casual
12,December,9787,casual
12,December,33203,member
